1812,83,1911,208
1936,92,2027,217
2049,93,2135,218
2157,123,2240,241
2266,117,2340,235
2378,123,2452,241
2481,128,2558,246
2589,129,2672,247
1582,260,1698,358
1708,265,1823,368
1833,266,1945,371
1967,250,2072,375
2097,250,2191,380
2233,255,2313,385
2351,262,2429,392
2482,268,2545,398
2604,274,2665,404
2733,277,2850,408
136,1090,386,1437
508,1127,652,1440
760,1078,920,1436
1004,1113,1165,1433
1235,1129,1432,1436
1480,1116,1681,1432
1931,1145,2120,1438
2180,1134,2329,1443
2412,1157,2546,1445
2655,1126,2779,1550
2894,1089,2993,1451
3092,1092,3191,1406
3328,1093,3417,1453
3569,1106,3719,1445
3831,1394,4009,1760
3486,1448,3603,1674
3269,1469,3400,1672
3018,1442,3193,1696
2774,1456,2911,1729
2521,1452,2666,1767
2241,1449,2413,1790
1942,1446,2173,1765
1436,1442,1676,1786
1163,1443,1383,1802
912,1446,1084,1797
634,1450,799,1765
361,1452,503,1752
0,1451,178,1797
763,665,910,895
971,725,1101,892
1158,735,1284,896
1330,736,1497,899
1526,739,1688,898
1699,744,1861,905
1881,745,2036,899
2065,750,2198,906
2248,755,2389,908
2429,754,2550,896
2612,757,2717,916
2782,759,2883,904
2951,788,3073,871
3129,680,3300,910
2995,546,3145,731
2846,565,2953,754
2690,570,2787,744
2537,584,2641,753
2371,561,2474,750
2204,540,2324,747
2040,561,2165,743
1866,564,2009,738
1707,561,1851,738
1547,575,1694,737
1364,565,1528,733
1209,558,1330,732
1017,529,1163,725
